day,avg precip,avg low,avg high,min low,max high,low year,high_year
01/01,0.000,12.5,33.5,12,34,1896,1896
01/02,0.000,13.0,40.0,9,43,1896,1897
01/03,0.005,24.5,49.0,19,54,1896,1897
01/04,0.000,18.5,43.5,0,54,1896,1897
01/05,0.920,18.5,32.5,-4,55,1896,1897
01/06,0.000,5.0,19.0,-14,37,1896,1897
01/07,0.000,7.0,27.5,-6,43,1896,1897
01/08,0.000,8.0,27.0,3,32,1896,1897
01/09,0.000,9.5,24.5,7,29,1896,1897
01/10,0.000,17.5,33.5,16,40,1896,1897
01/11,0.000,20.0,33.5,14,37,1896,1897
01/12,0.000,2.5,28.5,-1,30,1896,1896
01/13,0.000,11.0,27.5,2,30,1897,1896
01/14,0.000,7.5,26.5,7,29,1897,1896
01/15,0.000,14.5,28.5,10,30,1896,1897
01/16,0.000,9.0,35.0,-1,41,1896,1897
01/17,0.085,18.5,36.5,16,38,1897,1897
01/18,0.000,19.0,41.5,18,49,1897,1897
01/19,0.000,8.5,20.0,-7,29,1897,1896
01/20,0.000,4.0,22.5,-8,25,1897,1896
01/21,0.975,18.5,40.5,17,49,1897,1897
01/22,0.035,23.5,35.5,20,37,1896,1897
01/23,0.000,19.0,32.0,16,34,1896,1896
01/24,0.000,14.0,26.5,10,33,1897,1896
01/25,0.000,13.5,21.5,-2,33,1897,1896
01/26,0.000,18.0,36.0,10,39,1897,1897
01/27,0.000,23.0,33.0,18,35,1897,1896
01/28,0.400,14.0,27.0,11,27,1896,1896
01/29,0.000,10.5,37.0,3,41,1896,1897
01/30,0.000,13.0,35.0,6,38,1897,1896
01/31,0.000,8.0,34.5,2,36,1897,1897
02/01,0.200,11.0,36.0,2,37,1897,1896
02/02,0.000,16.0,43.5,4,52,1897,1896
02/03,0.000,18.0,29.5,12,32,1896,1897
02/04,0.000,19.0,29.0,16,31,1897,1897
02/05,0.000,14.5,34.0,5,37,1897,1897
02/06,1.440,24.5,40.0,19,42,1897,1896
02/07,0.485,36.5,44.0,34,45,1897,1896
02/08,0.000,34.5,42.0,34,43,1896,1897
02/09,0.150,26.0,32.0,25,37,1896,1897
02/10,0.000,20.0,37.0,18,42,1897,1896
02/11,0.000,16.0,31.5,8,38,1897,1896
02/12,0.250,14.0,25.5,9,32,1897,1896
02/13,0.200,15.5,27.5,11,28,1897,1896
02/14,0.000,13.5,35.5,7,39,1897,1897
02/15,0.100,16.0,36.0,11,37,1896,1897
02/16,0.000,24.5,31.0,19,35,1896,1897
02/17,0.000,3.0,21.0,-15,38,1896,1897
02/18,0.000,9.0,32.0,-11,44,1896,1897
02/19,0.125,15.5,29.5,10,34,1896,1897
02/20,0.085,13.0,31.0,11,35,1896,1897
02/21,0.000,17.5,40.5,9,48,1896,1897
02/22,0.000,16.0,31.0,5,32,1896,1897
02/23,0.235,14.5,40.0,8,45,1896,1896
02/24,0.000,30.0,40.0,22,45,1897,1896
02/25,0.000,8.5,37.0,4,41,1897,1897
02/26,0.000,7.0,24.5,-3,28,1896,1897
02/27,0.000,3.0,31.5,0,36,1896,1896
02/28,0.000,12.0,39.0,5,51,1897,1896
03/01,1.080,17.0,37.0,-6,47,1897,1896
03/02,0.450,26.0,45.0,22,47,1897,1897
03/03,0.305,25.5,39.0,21,45,1896,1897
03/04,0.150,16.0,40.5,10,45,1896,1897
03/05,0.310,12.0,35.0,12,37,1896,1896
03/06,0.000,22.5,44.0,18,47,1896,1897
03/07,0.235,18.0,30.0,9,33,1897,1896
03/08,0.000,15.5,38.5,7,43,1897,1896
03/09,0.000,23.5,36.0,16,40,1896,1897
03/10,0.085,25.0,41.5,16,49,1896,1897
03/11,0.000,25.0,39.0,19,51,1896,1897
03/12,0.275,21.5,40.0,18,41,1896,1897
03/13,0.000,15.0,36.0,9,38,1896,1896
03/14,0.210,9.5,34.0,3,41,1896,1897
03/15,0.000,9.5,37.5,9,46,1896,1897
03/16,0.400,15.5,30.0,9,32,1897,1897
03/17,0.000,10.0,37.5,6,41,1897,1896
03/18,0.000,12.0,42.5,12,45,1896,1896
03/19,0.680,30.5,47.5,28,49,1896,1896
03/20,0.000,26.0,41.0,20,47,1896,1896
03/21,0.380,28.0,44.5,24,49,1896,1897
03/22,0.000,30.5,50.0,29,51,1896,1896
03/23,0.000,23.0,41.5,15,56,1896,1897
03/24,0.485,22.0,33.0,12,34,1896,1897
03/25,0.000,23.0,43.5,15,45,1896,1896
03/26,0.000,32.0,52.0,29,63,1897,1896
03/27,0.000,25.0,37.5,19,42,1896,1897
03/28,0.000,27.0,43.5,23,44,1896,1897
03/29,0.430,25.0,41.0,20,48,1896,1897
03/30,0.080,29.0,45.5,25,51,1897,1897
03/31,0.000,32.0,54.0,30,56,1897,1896
04/01,0.000,28.5,51.0,28,51,1896,1896
04/02,0.350,33.5,46.5,30,56,1896,1897
04/03,0.000,24.5,39.5,23,46,1896,1897
04/04,0.150,21.0,52.5,20,58,1896,1897
04/05,0.005,28.5,53.0,26,62,1896,1897
04/06,0.025,30.0,52.0,28,63,1896,1897
04/07,0.120,35.0,47.5,30,56,1896,1897
04/08,0.000,30.0,43.0,26,44,1896,1896
04/09,0.585,31.0,48.0,28,52,1896,1896
04/10,0.000,28.0,53.0,22,54,1896,1896
04/11,0.080,31.0,47.0,28,56,1896,1896
04/12,0.000,31.5,60.0,28,62,1897,1897
04/13,0.000,33.5,69.5,26,84,1897,1896
04/14,0.000,40.5,54.0,40,65,1896,1897
04/15,0.165,37.5,62.0,32,78,1896,1896
04/16,0.000,43.5,69.0,37,73,1897,1896
04/17,0.085,39.0,55.0,37,55,1897,1896
04/18,0.000,38.0,65.5,35,73,1897,1896
04/19,0.000,39.0,65.5,37,68,1897,1897
04/20,0.000,37.5,54.0,17,74,1897,1896
04/21,0.000,29.5,51.5,22,55,1897,1897
04/22,0.140,31.5,57.0,28,69,1897,1897
04/23,0.000,37.0,72.0,31,80,1896,1897
04/24,0.000,44.5,67.5,37,81,1896,1897
04/25,0.000,36.5,67.5,28,85,1896,1897
04/26,0.020,44.0,57.5,38,65,1896,1897
04/27,0.005,36.0,50.0,36,50,1896,1896
04/28,0.010,37.5,51.5,36,53,1897,1896
04/29,0.000,37.0,62.5,35,68,1897,1897
04/30,0.000,40.0,65.0,37,75,1896,1897
05/01,0.000,37.5,60.5,32,73,1896,1896
05/02,0.010,34.0,55.5,29,63,1896,1896
05/03,0.425,46.0,63.5,44,73,1897,1896
05/04,0.015,48.0,69.0,43,78,1897,1896
05/05,0.000,40.0,64.5,36,71,1897,1897
05/06,0.050,42.0,54.5,42,61,1896,1897
05/07,0.000,36.5,55.0,35,58,1897,1896
05/08,0.015,33.0,65.5,31,71,1896,1896
05/09,0.000,44.0,82.0,39,87,1897,1896
05/10,0.145,56.5,78.5,45,93,1897,1896
05/11,0.000,47.0,64.0,45,65,1897,1896
05/12,0.415,42.5,68.0,42,74,1897,1896
05/13,0.465,48.5,65.0,39,68,1896,1897
05/14,0.000,44.0,71.5,36,74,1896,1896
05/15,0.000,45.0,72.5,36,73,1896,1896
05/16,0.000,51.0,70.5,46,83,1897,1896
05/17,0.000,49.0,76.5,49,83,1896,1896
05/18,0.000,51.5,78.5,45,81,1897,1896
05/19,0.010,49.0,73.5,48,80,1897,1896
05/20,0.000,38.5,73.0,34,75,1896,1897
05/21,0.010,46.0,66.0,38,75,1896,1897
05/22,0.000,46.0,74.5,44,83,1897,1896
05/23,0.000,42.5,73.5,35,75,1897,1897
05/24,0.000,46.0,61.0,43,65,1896,1897
05/25,0.325,47.5,64.0,43,70,1896,1897
05/26,0.205,44.0,61.0,43,63,1896,1897
05/27,0.340,50.5,64.5,47,79,1897,1896
05/28,0.025,47.0,66.5,47,73,1896,1896
05/29,0.210,50.0,68.0,50,69,1896,1896
05/30,0.000,46.5,75.0,46,76,1897,1896
05/31,0.920,50.0,67.0,48,68,1896,1897
06/01,0.005,48.0,67.0,44,75,1897,1896
06/02,0.000,46.0,69.5,42,71,1897,1896
06/03,0.190,45.5,79.0,41,85,1897,1896
06/04,0.135,52.0,72.5,51,85,1897,1896
06/05,0.025,51.5,70.5,49,79,1897,1896
06/06,0.000,44.5,63.0,37,65,1897,1896
06/07,0.240,50.5,57.0,49,58,1897,1897
06/08,0.225,47.5,57.0,43,59,1897,1897
06/09,0.315,49.5,65.0,48,75,1897,1896
06/10,3.395,53.5,62.5,50,70,1897,1896
06/11,0.005,48.0,76.5,45,77,1896,1896
06/12,0.050,49.0,66.5,46,73,1897,1896
06/13,0.040,44.5,65.5,43,74,1896,1896
06/14,0.645,48.0,65.0,47,67,1896,1897
06/15,0.010,46.5,69.5,42,79,1896,1897
06/16,0.000,52.5,75.5,52,78,1896,1896
06/17,0.000,51.5,77.5,49,78,1897,1896
06/18,0.000,55.5,81.0,55,83,1897,1896
06/19,0.000,54.0,87.5,49,94,1897,1896
06/20,0.055,59.5,80.0,56,92,1897,1896
06/21,0.135,56.5,79.5,49,91,1897,1896
06/22,0.000,55.5,82.0,46,86,1897,1896
06/23,0.000,52.5,77.0,50,81,1897,1897
06/24,0.000,52.0,80.5,46,87,1896,1897
06/25,0.000,58.0,80.5,50,87,1896,1897
06/26,0.000,58.5,79.5,58,84,1897,1896
06/27,0.000,53.5,76.5,45,84,1897,1896
06/28,0.010,51.0,80.0,49,82,1897,1896
06/29,0.000,57.0,77.0,57,82,1896,1896
06/30,0.465,50.5,70.5,49,76,1896,1896
07/01,0.075,57.0,82.5,57,88,1895,1896
07/02,0.000,50.5,86.0,40,93,1895,1896
07/03,0.000,54.5,81.5,49,84,1895,1895
07/04,0.000,52.5,68.0,49,76,1895,1895
07/05,0.125,56.5,75.0,53,77,1896,1895
07/06,0.045,56.5,69.5,53,76,1896,1895
07/07,0.165,57.5,76.0,53,86,1896,1895
07/08,0.000,62.5,85.0,55,91,1896,1895
07/09,0.400,64.5,85.0,61,87,1896,1896
07/10,0.005,63.5,82.5,57,90,1895,1896
07/11,0.000,55.5,83.0,49,89,1895,1896
07/12,0.000,53.5,86.0,45,92,1895,1896
07/13,0.080,59.5,83.0,54,92,1895,1896
07/14,0.250,60.5,83.5,56,84,1895,1895
07/15,0.155,54.0,78.5,48,83,1895,1896
07/16,0.135,57.5,77.5,54,78,1895,1895
07/17,0.050,54.0,72.5,51,77,1896,1896
07/18,0.000,54.5,77.5,51,79,1896,1896
07/19,0.000,54.0,77.0,48,80,1896,1895
07/20,0.265,60.5,79.0,60,80,1896,1895
07/21,0.000,65.5,88.5,61,89,1895,1895
07/22,0.280,65.5,88.5,65,89,1895,1895
07/23,0.000,65.5,79.0,62,80,1895,1895
07/24,0.000,53.0,79.5,51,84,1896,1895
07/25,0.355,57.0,80.5,56,84,1896,1895
07/26,0.000,57.5,79.5,57,85,1896,1896
07/27,0.035,53.5,77.5,50,79,1895,1896
07/28,0.620,63.5,82.0,62,89,1895,1896
07/29,0.000,56.5,80.0,52,82,1895,1896
07/30,0.480,62.0,81.0,57,82,1895,1896
07/31,0.000,56.0,74.5,48,75,1895,1896
08/01,0.000,47.0,76.0,46,78,1896,1896
08/02,0.660,55.0,72.5,52,75,1895,1895
08/03,0.140,53.0,80.0,52,83,1895,1896
08/04,0.000,58.5,84.0,58,90,1895,1896
08/05,0.145,61.5,80.5,61,84,1896,1895
08/06,0.000,58.0,73.0,56,80,1895,1895
08/07,0.265,62.5,76.5,62,79,1895,1896
08/08,0.085,64.0,84.5,63,87,1895,1896
08/09,0.000,60.5,87.5,60,93,1896,1896
08/10,0.110,65.0,88.5,59,95,1895,1896
08/11,0.000,66.0,89.5,63,95,1895,1896
08/12,0.070,65.5,84.0,62,100,1895,1896
08/13,0.030,66.5,84.0,62,87,1895,1896
08/14,0.085,61.5,76.5,57,82,1895,1895
08/15,0.000,59.0,78.0,55,83,1895,1895
08/16,0.000,61.5,79.5,60,81,1895,1895
08/17,0.000,55.5,73.5,51,76,1895,1896
08/18,0.760,52.0,76.5,48,77,1896,1896
08/19,0.000,48.0,71.0,45,72,1896,1895
08/20,0.000,49.5,74.5,47,75,1896,1896
08/21,0.000,46.5,75.0,46,76,1896,1896
08/22,0.000,51.5,75.0,44,76,1895,1896
08/23,0.000,55.5,76.0,51,84,1895,1895
08/24,0.405,65.0,85.0,63,90,1895,1895
08/25,0.000,58.5,80.0,52,83,1896,1895
08/26,0.000,53.0,78.0,53,82,1895,1895
08/27,0.060,56.0,76.0,55,83,1896,1895
08/28,0.000,51.0,78.5,45,84,1896,1895
08/29,0.130,51.0,69.5,43,71,1896,1895
08/30,0.000,47.5,76.0,44,76,1896,1895
08/31,0.105,49.5,72.0,49,76,1895,1895
09/01,0.205,49.0,70.0,47,74,1896,1895
09/02,0.000,43.0,73.5,43,78,1895,1895
09/03,0.285,49.0,79.0,43,81,1895,1895
09/04,0.000,52.0,77.0,51,88,1896,1895
09/05,1.825,41.5,73.5,41,85,1896,1895
09/06,1.050,51.0,75.0,50,81,1895,1895
09/07,0.000,48.0,73.0,47,74,1895,1895
09/08,0.000,51.5,74.5,50,79,1896,1895
09/09,0.395,42.5,75.5,33,84,1895,1895
09/10,0.205,50.5,71.5,42,78,1895,1895
09/11,0.285,53.0,85.0,43,89,1895,1896
09/12,0.035,60.5,83.0,55,84,1895,1896
09/13,0.035,48.5,70.0,43,80,1895,1895
09/14,0.000,42.0,61.0,30,63,1895,1896
09/15,0.000,46.0,68.5,36,74,1895,1896
09/16,0.000,44.0,65.0,35,66,1895,1896
09/17,0.035,48.0,71.0,44,79,1895,1895
09/18,0.175,50.5,69.5,44,71,1895,1896
09/19,0.250,50.0,68.5,47,72,1895,1895
09/20,0.000,46.0,71.0,42,79,1895,1895
09/21,0.000,47.5,81.0,39,95,1896,1895
09/22,0.150,57.0,75.0,51,92,1896,1895
09/23,0.000,48.5,75.0,38,95,1896,1895
09/24,0.000,44.5,68.0,33,80,1896,1895
09/25,0.000,38.0,67.5,38,74,1895,1895
09/26,0.200,50.5,81.0,49,85,1895,1895
09/27,0.000,54.0,75.0,53,76,1896,1896
09/28,0.000,45.5,61.5,40,62,1895,1895
09/29,0.250,40.0,66.5,35,71,1896,1895
09/30,0.365,53.0,76.5,51,81,1895,1896
10/01,0.005,45.5,62.5,37,68,1895,1896
10/02,0.030,41.5,62.0,34,69,1895,1895
10/03,0.000,39.0,65.0,34,71,1895,1895
10/04,0.005,39.0,59.0,33,65,1895,1895
10/05,0.350,43.5,56.5,42,64,1895,1895
10/06,0.000,42.0,59.0,40,68,1895,1895
10/07,0.045,38.0,59.5,37,70,1895,1895
10/08,0.070,43.0,56.0,36,60,1896,1895
10/09,0.000,32.5,54.0,31,54,1895,1895
10/10,0.000,30.5,51.5,29,53,1896,1896
10/11,0.000,30.5,54.5,28,58,1895,1895
10/12,0.010,39.5,60.0,35,65,1895,1895
10/13,2.070,45.0,54.5,41,60,1896,1895
10/14,0.655,49.5,60.0,45,67,1896,1895
10/15,0.235,37.0,53.5,30,54,1895,1896
10/16,0.000,32.0,55.5,28,65,1895,1896
10/17,0.000,27.0,57.0,23,57,1896,1895
10/18,0.055,35.5,54.5,30,56,1895,1896
10/19,0.000,32.5,62.0,32,67,1895,1895
10/20,0.005,28.5,51.5,23,55,1896,1896
10/21,0.095,38.0,52.0,27,60,1895,1896
10/22,0.000,25.0,54.5,18,58,1895,1895
10/23,0.185,31.5,53.5,25,55,1896,1895
10/24,0.000,35.5,53.0,28,57,1895,1896
10/25,0.000,31.5,52.0,28,58,1895,1895
10/26,0.000,28.5,51.0,27,56,1896,1896
10/27,0.065,32.0,65.5,32,69,1895,1895
10/28,0.000,42.5,62.0,35,72,1896,1895
10/29,0.105,31.0,49.0,30,50,1895,1896
10/30,0.000,33.0,51.5,21,60,1895,1896
10/31,0.000,35.0,57.0,22,70,1895,1896
11/01,1.050,37.0,58.5,29,64,1895,1896
11/02,0.200,32.5,53.5,31,65,1895,1896
11/03,0.000,35.5,49.5,31,55,1895,1896
11/04,0.650,30.0,52.0,28,52,1895,1895
11/05,0.055,37.5,61.5,28,62,1895,1895
11/06,0.000,40.5,61.5,34,69,1895,1895
11/07,0.000,39.5,64.0,39,70,1896,1895
11/08,0.090,38.5,58.0,35,72,1896,1895
11/09,0.035,40.5,53.5,34,59,1896,1895
11/10,0.050,33.5,49.5,28,50,1896,1896
11/11,0.070,28.5,49.0,28,58,1895,1896
11/12,0.000,31.5,45.0,22,47,1895,1896
11/13,0.035,27.0,44.5,27,45,1895,1895
11/14,0.045,28.5,41.0,26,45,1896,1895
11/15,0.710,32.5,49.0,23,51,1896,1896
11/16,0.000,37.0,51.5,35,53,1895,1896
11/17,0.375,32.0,57.0,29,72,1895,1896
11/18,0.000,35.0,46.5,32,52,1895,1895
11/19,0.220,35.5,57.0,33,60,1896,1896
11/20,0.170,30.5,47.0,20,54,1896,1895
11/21,0.310,18.0,40.5,15,49,1896,1895
11/22,0.050,19.5,38.5,14,50,1895,1896
11/23,0.005,13.0,33.5,11,35,1896,1896
11/24,0.000,31.0,46.5,30,57,1896,1896
11/25,0.200,25.5,41.0,17,45,1895,1896
11/26,0.780,29.5,48.0,29,63,1896,1895
11/27,0.000,34.0,56.5,33,70,1896,1896
11/28,0.250,32.5,58.5,20,68,1895,1896
11/29,0.060,27.5,46.5,22,51,1895,1895
11/30,0.000,24.0,40.0,24,47,1895,1895
12/01,0.000,16.0,33.5,15,36,1895,1895
12/02,0.115,26.5,42.0,13,57,1896,1895
12/03,0.000,17.5,25.5,6,32,1896,1895
12/04,0.025,9.0,32.0,6,34,1896,1896
12/05,0.000,24.0,35.0,19,43,1895,1896
12/06,0.000,27.0,40.0,26,53,1895,1896
12/07,0.000,21.0,39.0,8,48,1895,1896
12/08,0.000,21.0,41.0,20,43,1895,1896
12/09,0.645,22.5,36.0,12,43,1895,1896
12/10,0.000,19.5,41.5,7,44,1895,1896
12/11,0.000,19.5,32.0,13,37,1895,1896
12/12,0.000,12.5,31.5,4,46,1895,1896
12/13,0.000,13.5,36.0,0,46,1895,1896
12/14,0.000,17.5,37.5,9,42,1895,1896
12/15,0.000,11.5,35.0,10,43,1895,1895
12/16,0.150,21.5,44.0,16,47,1896,1895
12/17,0.000,12.5,35.5,5,38,1895,1896
12/18,0.060,17.0,43.0,10,48,1896,1895
12/19,0.000,25.5,52.5,15,58,1896,1895
12/20,0.000,19.5,46.0,12,67,1896,1895
12/21,0.000,18.0,40.0,6,53,1896,1895
12/22,0.515,19.5,45.5,6,71,1896,1895
12/23,0.000,16.5,38.5,11,48,1896,1895
12/24,0.000,15.5,35.5,4,41,1896,1895
12/25,0.000,13.5,31.5,7,42,1896,1895
12/26,0.200,19.5,39.5,12,48,1896,1895
12/27,0.000,13.0,33.5,-2,46,1896,1895
12/28,0.000,5.0,38.0,-4,44,1896,1895
12/29,0.000,10.5,41.5,6,42,1895,1896
12/30,0.000,22.5,45.5,22,48,1896,1895
12/31,0.350,17.5,51.5,10,61,1895,1895
